ranking,modelo,link_review,link_importar,link_amazon,nota_global,som,anc,modo_ambiente,microfone,preço_medio_reais,autonomia_horas,resistencia,tipo,estilo,carrega_sem_fio,possui_anc,possui_modo_ambiente,possui_modo_jogo,possui_deteccao_uso,possui_atender_recusar,possui_play_pause,possui_avancar_musica,possui_retormar_musica,possui_chamar_assistente,possui_controle_volume,possui_configurar_toques,possui_multiponto,possui_deteccao_voz,possui_atendimento_automatico,possui_audio_espacial
29,Soundpeats Opera,https://youtu.be/kFReXN8erG0,https://s.click.aliexpress.com/e/_DBBHCeJ,https://amzn.to/3kcS2pZ,8.76,8.75,9,8.9,8.7,500,9,IPX4,Intra Auricular,Cápsulas,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
30,Soundcore Life P3,https://youtu.be/wYFBZMZYudg,https://s.click.aliexpress.com/e/_DEXiH3d,https://amzn.to/308KcUu,8.76,8.75,9,8.7,8.9,300,7,IPX5,Intra Auricular,Hastes,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
31,Pamu Slide 2,https://youtu.be/OKdE8lMavQE,https://bit.ly/3PBrSYR,https://amzn.to/3z9C7wA,8.76,8.75,9,8.7,8.9,450,6.5,IPX4,Intra Auricular,Hastes,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
32,TOZO NC2,https://youtu.be/uXNYRkdPVtA,https://s.click.aliexpress.com/e/_Dm6qOXt,https://amzn.to/3m5O2Wh,8.76,8.75,9,8.7,8.8,190,8,IPX6,Intra Auricular,Hastes,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
33,Tronsmart Apollo Bold,https://youtu.be/OQlvZq-RmEc,N/A,https://amzn.to/3ApLiaX,8.76,8.75,9,8.5,8.9,376,10,IP45,Intra Auricular,Cápsulas,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
34,HONOR Earbuds 2 Lite,https://youtu.be/wmnWXyRw11s,https://s.click.aliexpress.com/e/_Dm3d01l,https://amzn.to/3GDnODk,8.76,8.75,8.9,8.65,8.5,215,10,IPX4,Intra Auricular,Hastes,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
35,Huawei Freebuds 4i,https://youtu.be/lRws0ZkAli8,https://s.click.aliexpress.com/e/_Ddl7dAT,https://amzn.to/3r3Xtc9,8.76,8.75,8.9,8.65,8.5,350,10,IPX4,Intra Auricular,Hastes,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
36,Soundcore Sport X10,https://youtu.be/3nL7FsMDBS4,https://s.click.aliexpress.com/e/_DE8JaQR,https://amzn.to/3PTMJpA,8.76,8.75,8.9,8.3,8.8,350,8,IPX7,Intra Auricular,Com Gancho,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
37,Soundpetas Air 4 Pro,https://youtu.be/WHMfrldND6A,https://s.click.aliexpress.com/e/_DeWccD7,https://amzn.to/42tN9Lh,8.76,8.75,8.74,8.9,8.7,315,6,IPX4,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não
37,HHOGene Gpods,https://youtu.be/5YjkxHojYKY,https://s.click.aliexpress.com/e/_DBdf0Nl,https://amzn.to/3HJvc27,8.75,8.75,8.75,8.8,8.9,690,5,IPX4,Intra Auricular,Hastes,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
38,SoundPeats T3,https://youtu.be/R0Cm0A6gRQE,https://s.click.aliexpress.com/e/_DCKZcuj,https://amzn.to/3rd61vV,8.73,8.75,8.75,8.5,8.7,240,6,IPX4,Intra Auricular,Hastes,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
38,SoundPeats Mini Pro HS,https://youtu.be/-UUqzeG0usQ,https://s.click.aliexpress.com/e/_DCEStr9,https://amzn.to/3XG5bXk,8.73,8.75,8.75,8.5,8.7,250,8,IPX5,Intra Auricular,Cápsulas,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
39,Soundcore Life P3i,https://youtu.be/bF0pmt7o5rY,https://s.click.aliexpress.com/e/_Dn10a0b,https://amzn.to/3J2gtPz,8.73,8.75,8.75,8.5,8.7,300,9,IPX5,Intra Auricular,Hastes,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
40,SoundPeats Mini Pro,https://youtu.be/y3xa9yPVh80,https://s.click.aliexpress.com/e/_DCsJzBz,https://amzn.to/3Ju5AED,8.73,8.75,8.75,8.3,8.7,200,7,IPX5,Intra Auricular,Cápsulas,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
41,SoundPeats T2,https://youtu.be/4QqGZSEHxPo,https://s.click.aliexpress.com/e/_DkpMUub,https://amzn.to/2YtYJcZ,8.73,8.75,8.75,8.3,8.7,260,10,IPX5,Intra Auricular,Cápsulas,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
42,Edifier TWS NB2 Pro,https://youtu.be/U4eFI-Nr3YQ,https://s.click.aliexpress.com/e/_Dn1fwNd,https://amzn.to/3090HQp,8.73,8.75,8.75,8.7,8.7,340,9,IP54,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
43,Pamu Z1,https://youtu.be/d6z5a-H4bIo,https://bit.ly/3SvJqYr,https://amzn.to/3oKxup9,8.73,8.75,8.75,8.5,8.5,345,6.5,IPX4,Intra Auricular,Hastes,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
44,SoundPeats Capsule 3 Pro,https://youtu.be/csQfRxg0pfg,https://s.click.aliexpress.com/e/_Dmw5Vun,https://amzn.to/3HccP64,8.73,8.75,8.7,9,8.4,290,8,IPX4,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
45,Ugreen HiTune X6,https://youtu.be/Oqrt860Yo9s,https://s.click.aliexpress.com/e/_DBugi2X,https://amzn.to/3FEqEHU,8.73,8.75,8.7,N/A,8.7,160,6,IPX5,Intra Auricular,Hastes,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
46,Ugreen HiTune T3,https://youtu.be/HBDeXnMoHdI,https://s.click.aliexpress.com/e/_DmJMrJd,https://amzn.to/3rTMr8t,8.73,8.75,8.7,8.65,8.7,210,7,N/A,Intra Auricular,Hastes,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
47,Pamu Quiet Mini,https://youtu.be/CE1aDluS37Y,https://bit.ly/3BJEucy,https://amzn.to/2WYsrpI,8.73,8.75,8.6,8.75,8.7,395,4.5,IPX4,Intra Auricular,Hastes,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
48,Stage Hero 6,https://youtu.be/HDLfKPUjGuA,https://amzn.to/3Y6oKJm,https://amzn.to/3Y6oKJm,8.73,8.75,8.6,8.5,8.6,200,6,IPX5,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
49,Moondrop Space Travel,https://youtu.be/UWVF3UaaULs,https://s.click.aliexpress.com/e/_DezvFkV,https://amzn.to/3UGRyJ7,8.73,8.75,8.5,8.75,9,150,4,N/A,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
50,OneOdio Super EQ S10,https://youtu.be/NXM_xG2nchc,https://s.click.aliexpress.com/e/_DD2r1HP,https://amzn.to/49HB1bR,8.73,8.75,8.5,8.8,9.1,150,6,IPX5,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
51,Haylou Moripods ANC,https://youtu.be/JXLdov7lkOA,https://s.click.aliexpress.com/e/_DdNClGn,https://amzn.to/3nD5VQb,8.73,8.75,8.3,8.5,8.7,190,10,N/A,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
52,Realme Buds Air Pro,https://youtu.be/WWeqskuGD38,N/A,https://amzn.to/3iJqCoc,8.73,8.75,8.3,8.3,8.5,360,6,IPX4,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
7,Tronsmart Apollo Air,https://youtu.be/g4QjPrq8JdM,N/A,https://amzn.to/2WTYK98,8.72,8.7,8.3,8.3,8.7,200,5,IP54,Intra Auricular,Hastes,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
53,Mifo S,https://youtu.be/VcpJHRt5RZY,https://s.click.aliexpress.com/e/_DChEiE3,https://amzn.to/3P9aJGA,8.72,8.74,9.1,8.8,9,690,6,IPX7,Intra Auricular,Cápsulas,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
54,1MORE ComfoBuds Mini,https://youtu.be/0Khv0OUNY5M,https://s.click.aliexpress.com/e/_DEuvxSb,https://amzn.to/3wkzfLN,8.72,8.74,9.1,8.3,8.3,430,6,IPX5,Intra Auricular,Cápsulas,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
55,SoundPeats Life,https://youtu.be/Woux4TJ4a7k,https://s.click.aliexpress.com/e/_DEu79YX,https://amzn.to/3CXKRIK,8.72,8.74,9,8.9,8.4,150,5,N/A,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
56,Moondrop Nekocake,https://youtu.be/bhRWg9EZM0I,https://s.click.aliexpress.com/e/_DkiLhyr,https://amzn.to/41PPobi,8.72,8.74,8.75,N/A,8.9,220,4,N/A,Intra Auricular,Hastes,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
57,QCY T13 ANC,https://youtu.be/rElGXvxll_U,https://s.click.aliexpress.com/e/_DBz8YbZ,https://amzn.to/3yMwRiM,8.72,8.74,8.75,8.75,8.75,120,7,IPX5,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
58,Baseus Storm 1,https://youtu.be/BkwlRx4ZkKs,https://s.click.aliexpress.com/e/_DdBUWVH,https://amzn.to/3T3dYAI,8.72,8.74,8.9,8.7,8.8,400,5,N/A,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
59,SoundPeats Air 3 Pro,https://youtu.be/1ptH5U4Zbfs,https://s.click.aliexpress.com/e/_DD1O3cX,https://amzn.to/3AIwnMu,8.72,8.74,8.5,8.3,8.7,230,6,N/A,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
60,Haylou X1 Pro,https://youtu.be/-HRc1N8fIzk,https://s.click.aliexpress.com/e/_Deimq8x,https://amzn.to/3TYEmwy,8.72,8.74,8.3,8.5,8.65,230,6,N/A,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
61,Nuarl N10 Plus,https://youtu.be/IoYH1qG4mec,https://nuarl.com/,N/A,8.72,8.74,8,8.65,8.9,N/A,7,IPX4,Intra Auricular,Cápsulas,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
62,Xiaomi Redmi Buds 4 Pro,https://youtu.be/HNzKTUNN1dw,https://s.click.aliexpress.com/e/_DEeh6mn,https://amzn.to/3zHy7Ub,8.72,8.73,9.1,8.8,8.9,240,9,IP54,Intra Auricular,Hastes,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não
63,1MORE Comfobuds Pro,https://youtu.be/WBARlBKSiCM,https://s.click.aliexpress.com/e/_DmL2cFv,https://amzn.to/3BGlDuX,8.72,8.73,8.8,8.6,8.5,455,8,IPX4,Intra Auricular,Hastes,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
64,Baseus Bowie M2,https://youtu.be/FzFsgqvikK8,https://s.click.aliexpress.com/e/_DDMWWVl,https://amzn.to/3rpBtbb,8.72,8.73,8.75,8.4,8.5,230,5,N/A,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
65,Baseus Bowie M2s,https://youtu.be/3elWZzR2VHQ,https://s.click.aliexpress.com/e/_DdP4Sxh,https://amzn.to/3QCPBd4,8.72,8.7,8.8,8.75,9,160,7,N/A,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
66,Baseus SIMU S2,https://youtu.be/927JdWcirgA,https://s.click.aliexpress.com/e/_Dn0ebYL,https://amzn.to/3BrD9Eb,8.72,8.7,8.75,8.4,8.7,340,6,IPX4,Intra Auricular,Hastes,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
67,Baseus SIMU S1,https://youtu.be/f8KazRhDN7o,https://s.click.aliexpress.com/e/_DBQILt1,https://amzn.to/3Dmlgaj,8.72,8.7,8.7,8.3,8.5,210,5,IP54,Intra Auricular,Hastes,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
68,Baseus SIMU S1 Pro,https://youtu.be/f8KazRhDN7o,https://s.click.aliexpress.com/e/_DBQILt1,https://amzn.to/3mCTks4,8.72,8.7,8.7,8.3,8.5,240,5,IP54,Intra Auricular,Hastes,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
69,Blitzwolf BW-FYE11,https://youtu.be/XljhdiuBX2k,N/A,https://amzn.to/3mFdsd5,8.72,8.7,8.7,8.3,8.5,360,6.5,IPX4,Intra Auricular,Hastes,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
70,Tronsmart Onyx Apex,https://youtu.be/gEBq-G_N0bg,N/A,https://amzn.to/3AoVvUW,8.72,8.65,8.5,8,8.5,250,5,IP45,Intra Auricular,Hastes,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
71,QCY-HT03,https://youtu.be/1cx1_Ls58V8,https://s.click.aliexpress.com/e/_Dd3MkQX,https://amzn.to/3DsRDnT,8.72,8.6,8.8,8,8,140,6,N/A,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
72,QCY-HT01,https://youtu.be/W7DP6SdByhI,N/A,https://amzn.to/3tmTlTt,8.72,8.6,8.5,8.5,8.7,210,6,IPX4,Intra Auricular,Cápsulas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
73,Xiaomi Redmi Airdots 3 Pro (Buds 3 Pro),https://youtu.be/JvwCLGAOJSc,https://s.click.aliexpress.com/e/_DFbpiz5,https://amzn.to/3AnbgvG,8.72,8.6,8.3,8.7,8.8,180,6,IPX4,Intra Auricular,Cápsulas,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não
74,Haylou T16,https://youtu.be/DQxbZaaQlzM,N/A,https://amzn.to/3BpwRVj,8.72,8.6,8,8.5,8.7,315,6,IPX5,Intra Auricular,Cápsulas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
75,Awei TA1 ANC,https://youtu.be/BUkUpoF8Pj8,N/A,https://amzn.to/2YuFwb9,8.72,8.6,8,8.3,8.6,235,4,IPX4,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
76,Vohz Connect F9-5,N/A,https://mercadolivre.com/sec/25G3Bbe,https://amzn.to/3UuNcTq,8.72,8.6,N/A,N/A,7.3,60,5,N/A,Intra Auricular,Cápsulas,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
